,t,c,symbol,returns,ma,ratio,position
0,2020-11-30T05:00:00Z,146.88,BR,,,,
1,2020-12-01T05:00:00Z,148.45,BR,0.010632274337588399,,,
2,2020-12-02T05:00:00Z,147.23,BR,-0.008252211332451687,,,
3,2020-12-03T05:00:00Z,148.01,BR,0.005283849171780375,,,
4,2020-12-04T05:00:00Z,149.22,BR,0.008141887994270292,,,
5,2020-12-07T05:00:00Z,146.15,BR,-0.02078823548611286,,,
6,2020-12-08T05:00:00Z,147.23,BR,0.007362498320062194,,,
7,2020-12-09T05:00:00Z,148.31,BR,0.007308687876554032,,,
8,2020-12-10T05:00:00Z,146.22,BR,-0.014192340888701693,,,
9,2020-12-11T05:00:00Z,147.63,BR,0.009596806680827186,,,
10,2020-12-14T05:00:00Z,146.1,BR,-0.010417824789342944,,,
11,2020-12-15T05:00:00Z,147.41,BR,0.008926501302532586,,,
12,2020-12-16T05:00:00Z,146.81,BR,-0.004078586307817211,,,
13,2020-12-17T05:00:00Z,150.83,BR,0.027014141028791627,,,
14,2020-12-18T05:00:00Z,153.88,BR,0.02001970310393375,,,
15,2020-12-21T05:00:00Z,149.36,BR,-0.029813578650626837,,,
16,2020-12-22T05:00:00Z,148.48,BR,-0.005909230195577209,,,
17,2020-12-23T05:00:00Z,147.41,BR,-0.00723244897870412,,,
18,2020-12-24T05:00:00Z,150.01,BR,0.017484138481612455,,,
19,2020-12-28T05:00:00Z,152.06,BR,0.013573221259491675,,,
20,2020-12-29T05:00:00Z,151.37,BR,-0.004548009025816313,148.5261904761905,1.0191468556130872,
21,2020-12-30T05:00:00Z,152.11,BR,0.0048767725491778435,148.77523809523808,1.0224147643617092,
22,2020-12-31T05:00:00Z,153.2,BR,0.007140313982838542,149.0014285714286,1.0281780615717968,
23,2021-01-04T05:00:00Z,151.51,BR,-0.011092627934746524,149.2052380952381,1.01544692354092,
24,2021-01-05T05:00:00Z,151.72,BR,0.0013850874489538256,149.38190476190476,1.015651796928295,
25,2021-01-06T05:00:00Z,155.78,BR,0.026408038671104528,149.6942857142857,1.0406542858778844,
26,2021-01-07T05:00:00Z,155.62,BR,-0.0010276173030181468,150.14523809523808,1.0364631071502197,
27,2021-01-08T05:00:00Z,156.21,BR,0.0037841176541331123,150.57285714285712,1.0374379749717746,
28,2021-01-11T05:00:00Z,155.01,BR,-0.007711624875714307,150.89190476190475,1.0272916909929215,
